circuit,pixel,scan,x_intercept
t9t10,1007,avg5,0.0873493975903727
t9t10,1008,avg1,1.00603348972948
t9t10,1008,avg1,0.371480294320861
t9t10,1008,avg2,1.08167178928528
t9t10,1008,avg2,0.429476491532085
t9t10,1008,avg3,0.692415089479056
t9t10,1008,avg3,0.0470682730923784
t9t10,1008,avg4,0.567811959827566
t9t10,1008,avg5,0.565451961169742
t9t10,1009,avg1,0.633128241034512
t9t10,1009,avg1,0.565555555555562
t9t10,1009,avg2,0.824709981105912
t9t10,1009,avg2,0.192711864406789
t9t10,1009,avg3,0.555091474453178
t9t10,1009,avg4,0.86761118195065
t9t10,1009,avg4,0.241251219939414
t9t10,1009,avg5,0.496452551506394
t9t10,100,avg1,1.09896607698593
t9t10,100,avg1,0.489768432284706
t9t10,100,avg2,0.948405278514912
t9t10,100,avg2,0.324255935512298
t9t10,100,avg3,0.564177215189886
t9t10,100,avg4,0.747228815030184
t9t10,100,avg4,0.0990948609053817
t9t10,100,avg5,1.09447104360544
t9t10,100,avg5,0.458306374193597
t9t10,1010,avg1,0.702358302868731
t9t10,1010,avg1,0.0431965449310496
t9t10,1010,avg2,0.838293018216916
t9t10,1010,avg2,0.190629579792898
t9t10,1010,avg3,0.782841765909865
t9t10,1010,avg3,0.166857923826285
t9t10,1010,avg4,0.556512186239729
t9t10,1010,avg5,1.05831539924156
t9t10,1010,avg5,0.420428115403695
t9t10,1011,avg1,0.956381460559896
t9t10,1011,avg1,0.287319358254365
t9t10,1011,avg2,0.907786259542007
t9t10,1011,avg2,0.283773969165992
t9t10,1011,avg3,0.548344124124469
t9t10,1011,avg4,0.576274509803909
t9t10,1011,avg5,0.564684647201375
t9t10,1012,avg1,0.635944147745903
t9t10,1012,avg2,0.980243902439014
t9t10,1012,avg2,0.349603433090152
t9t10,1012,avg3,0.88749511547519
t9t10,1012,avg3,0.271334832289881
t9t10,1012,avg4,1.0485438024231
t9t10,1012,avg4,0.399025872817958
t9t10,1012,avg5,0.668107053095582
t9t10,1012,avg5,0.0465785763960866
t9t10,1013,avg1,0.890510713404581
t9t10,1013,avg1,0.276917103033099
t9t10,1013,avg2,0.803883585922875
t9t10,1013,avg2,0.156373399989036
t9t10,1013,avg3,1.04690294459897
t9t10,1013,avg3,0.42117647058825
t9t10,1013,avg4,1.04400235986441
t9t10,1013,avg4,0.401351001281711
t9t10,1013,avg5,1.06494736842106
t9t10,1013,avg5,0.411541909836757
t9t10,1014,avg1,1.04889576379281
t9t10,1014,avg1,0.439019325536663
t9t10,1014,avg2,0.771151263679258
t9t10,1014,avg2,0.128772034881564
t9t10,1014,avg3,0.852512278762447
t9t10,1014,avg3,0.194545454545448
t9t10,1014,avg4,0.991024821168708
t9t10,1014,avg4,0.326407195124744
t9t10,1014,avg5,0.760518481060672
t9t10,1014,avg5,0.0923012655380546
t9t10,1015,avg1,0.533343245458525
t9t10,1015,avg2,1.09813139995518
t9t10,1015,avg2,0.467066699765724
t9t10,1015,avg3,1.04849729245362
t9t10,1015,avg3,0.415336660421474
t9t10,1015,avg4,0.702000000000027
t9t10,1015,avg4,0.0606637164010237
t9t10,1015,avg5,1.04774647887325
t9t10,1015,avg5,0.390567817392963
t9t10,1016,avg1,0.929188811702886
t9t10,1016,avg1,0.197229360824764
t9t10,1016,avg2,0.789390247900059
t9t10,1016,avg2,0.143892277220857
t9t10,1016,avg3,0.646156162312479
t9t10,1016,avg3,0.0227898693553072
t9t10,1016,avg4,0.662107188979775
t9t10,1016,avg5,0.492731658522786
t9t10,1017,avg1,0.838386772838476
t9t10,1017,avg1,0.194380557537841
t9t10,1017,avg2,0.706029552941203
t9t10,1017,avg2,0.0274421441641834
t9t10,1017,avg3,0.966330724070474
t9t10,1017,avg3,0.341431762212949
t9t10,1017,avg4,0.692963987282667
t9t10,1017,avg4,0.0439736853167574
t9t10,1017,avg5,0.999068415561197
t9t10,1017,avg5,0.348683136242727
